,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,64,54,0 Dribbles,0.141,0.86,1.97,0.437,0.472,0.093,0.72,1.3,0.554,0.048,0.14,0.67,0.209
1,201565,"Rose, Derrick",2,64,53,1 Dribble,0.121,0.88,1.69,0.519,0.523,0.116,0.86,1.61,0.534,0.006,0.02,0.08,0.2
2,201565,"Rose, Derrick",3,64,58,2 Dribbles,0.163,1.27,2.27,0.559,0.562,0.158,1.25,2.2,0.567,0.004,0.02,0.06,0.25
3,201565,"Rose, Derrick",4,64,64,3-6 Dribbles,0.379,2.78,5.28,0.527,0.528,0.375,2.77,5.22,0.53,0.004,0.02,0.06,0.25
4,201565,"Rose, Derrick",5,64,57,7+ Dribbles,0.195,1.41,2.72,0.517,0.52,0.192,1.39,2.67,0.52,0.003,0.02,0.05,0.333
