,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,64,38,Catch and Shoot,0.067,0.23,0.94,0.25,0.325,0.021,0.09,0.3,0.316,0.046,0.14,0.64,0.22
1,201565,"Rose, Derrick",2,64,63,Pull Ups,0.377,2.3,5.25,0.438,0.443,0.359,2.23,5.0,0.447,0.018,0.06,0.25,0.25
2,201565,"Rose, Derrick",3,64,64,Less than 10 ft,0.553,4.66,7.7,0.604,0.604,0.553,4.66,7.7,0.604,0.0,0.0,0.0,
3,201565,"Rose, Derrick",4,64,2,Other,0.002,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,0.002,0.0,0.03,0.0
