,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,66,59,0-2 Feet - Very Tight,0.166,1.08,2.44,0.441,0.441,0.165,1.08,2.42,0.444,0.001,0.0,0.02,0.0
1,201565,"Rose, Derrick",2,66,65,2-4 Feet - Tight,0.422,2.89,6.21,0.466,0.467,0.403,2.88,5.94,0.485,0.019,0.02,0.27,0.056
2,201565,"Rose, Derrick",3,66,62,4-6 Feet - Open,0.333,2.26,4.91,0.46,0.495,0.246,1.91,3.62,0.527,0.087,0.35,1.29,0.271
3,201565,"Rose, Derrick",4,66,45,6+ Feet - Wide Open,0.079,0.55,1.17,0.468,0.597,0.032,0.24,0.47,0.516,0.047,0.3,0.7,0.435
