,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,51,14,0-2 Feet - Very Tight,0.022,0.18,0.33,0.529,0.529,0.019,0.18,0.29,0.6,0.003,0.0,0.04,0.0
1,201565,"Rose, Derrick",2,51,46,2-4 Feet - Tight,0.184,0.88,2.84,0.31,0.348,0.118,0.67,1.82,0.366,0.066,0.22,1.02,0.212
2,201565,"Rose, Derrick",3,51,50,4-6 Feet - Open,0.319,1.71,4.92,0.347,0.438,0.14,0.8,2.16,0.373,0.179,0.9,2.76,0.326
3,201565,"Rose, Derrick",4,51,41,6+ Feet - Wide Open,0.111,0.53,1.71,0.31,0.42,0.022,0.16,0.33,0.471,0.089,0.37,1.37,0.271
