,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,66,54,Catch and Shoot,0.118,0.59,1.74,0.339,0.491,0.011,0.06,0.17,0.364,0.107,0.53,1.58,0.337
1,201565,"Rose, Derrick",2,66,65,Pull Ups,0.442,2.61,6.52,0.4,0.41,0.397,2.47,5.85,0.422,0.045,0.14,0.67,0.205
2,201565,"Rose, Derrick",3,66,65,Less than 10 ft,0.433,3.55,6.38,0.556,0.556,0.433,3.55,6.38,0.556,0.0,0.0,0.0,
3,201565,"Rose, Derrick",4,66,6,Other,0.006,0.03,0.09,0.333,0.333,0.004,0.03,0.06,0.5,0.002,0.0,0.03,0.0
