,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,25,21,0 Dribbles,0.247,0.76,1.68,0.452,0.5,0.112,0.6,0.76,0.789,0.135,0.16,0.92,0.174
1,201565,"Rose, Derrick",2,25,14,1 Dribble,0.135,0.4,0.92,0.435,0.435,0.129,0.4,0.88,0.455,0.006,0.0,0.04,0.0
2,201565,"Rose, Derrick",3,25,9,2 Dribbles,0.094,0.28,0.64,0.438,0.438,0.094,0.28,0.64,0.438,0.0,0.0,0.0,
3,201565,"Rose, Derrick",4,25,23,3-6 Dribbles,0.376,1.28,2.56,0.5,0.516,0.353,1.2,2.4,0.5,0.024,0.08,0.16,0.5
4,201565,"Rose, Derrick",5,25,15,7+ Dribbles,0.147,0.52,1.0,0.52,0.54,0.135,0.48,0.92,0.522,0.012,0.04,0.08,0.5
