,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,25,16,Catch and Shoot,0.141,0.16,0.96,0.167,0.25,0.006,0.0,0.04,0.0,0.135,0.16,0.92,0.174
1,201565,"Rose, Derrick",2,25,18,Pull Ups,0.282,0.56,1.92,0.292,0.323,0.241,0.44,1.64,0.268,0.041,0.12,0.28,0.429
2,201565,"Rose, Derrick",3,25,22,Less than 10 ft,0.576,2.52,3.92,0.643,0.643,0.576,2.52,3.92,0.643,0.0,0.0,0.0,
