,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,10,10,0 Dribbles,0.271,1.7,3.9,0.436,0.59,0.083,0.5,1.2,0.417,0.188,1.2,2.7,0.444
1,201565,"Rose, Derrick",2,10,9,1 Dribble,0.146,0.9,2.1,0.429,0.476,0.083,0.7,1.2,0.583,0.063,0.2,0.9,0.222
2,201565,"Rose, Derrick",3,10,8,2 Dribbles,0.16,0.8,2.3,0.348,0.348,0.153,0.8,2.2,0.364,0.007,0.0,0.1,0.0
3,201565,"Rose, Derrick",4,10,10,3-6 Dribbles,0.285,1.9,4.1,0.463,0.488,0.25,1.7,3.6,0.472,0.035,0.2,0.5,0.4
4,201565,"Rose, Derrick",5,10,10,7+ Dribbles,0.139,0.4,2.0,0.2,0.2,0.111,0.4,1.6,0.25,0.028,0.0,0.4,0.0
