,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,51,51,Touch < 2 Seconds,0.328,1.78,5.06,0.353,0.438,0.131,0.92,2.02,0.456,0.197,0.86,3.04,0.284
1,201565,"Rose, Derrick",2,51,50,Touch 2-6 Seconds,0.427,2.98,6.59,0.452,0.49,0.324,2.49,5.0,0.498,0.103,0.49,1.59,0.309
2,201565,"Rose, Derrick",3,51,48,Touch 6+ Seconds,0.244,1.86,3.76,0.495,0.513,0.207,1.73,3.2,0.54,0.037,0.14,0.57,0.241
