,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,25,23,Touch < 2 Seconds,0.359,1.16,2.44,0.475,0.508,0.218,1.0,1.48,0.676,0.141,0.16,0.96,0.167
1,201565,"Rose, Derrick",2,25,22,Touch 2-6 Seconds,0.447,1.32,3.04,0.434,0.447,0.424,1.24,2.88,0.431,0.024,0.08,0.16,0.5
2,201565,"Rose, Derrick",3,25,16,Touch 6+ Seconds,0.194,0.76,1.32,0.576,0.591,0.182,0.72,1.24,0.581,0.012,0.04,0.08,0.5
