,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,66,23,0-2 Feet - Very Tight,0.027,0.18,0.39,0.462,0.462,0.026,0.18,0.38,0.48,0.001,0.0,0.02,0.0
1,201565,"Rose, Derrick",2,66,62,2-4 Feet - Tight,0.183,0.85,2.7,0.315,0.317,0.165,0.83,2.42,0.344,0.019,0.02,0.27,0.056
2,201565,"Rose, Derrick",3,66,62,4-6 Feet - Open,0.283,1.73,4.17,0.415,0.456,0.195,1.38,2.88,0.479,0.087,0.35,1.29,0.271
3,201565,"Rose, Derrick",4,66,42,6+ Feet - Wide Open,0.074,0.47,1.09,0.431,0.569,0.027,0.17,0.39,0.423,0.047,0.3,0.7,0.435
