,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,25,12,0-2 Feet - Very Tight,0.106,0.48,0.72,0.667,0.667,0.106,0.48,0.72,0.667,0.0,0.0,0.0,
1,201565,"Rose, Derrick",2,25,19,2-4 Feet - Tight,0.406,1.44,2.76,0.522,0.529,0.394,1.4,2.68,0.522,0.012,0.04,0.08,0.5
2,201565,"Rose, Derrick",3,25,22,4-6 Feet - Open,0.365,1.08,2.48,0.435,0.46,0.282,0.96,1.92,0.5,0.082,0.12,0.56,0.214
3,201565,"Rose, Derrick",4,25,15,6+ Feet - Wide Open,0.124,0.24,0.84,0.286,0.357,0.041,0.12,0.28,0.429,0.082,0.12,0.56,0.214
