,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",2,25,8,2-4 Feet - Tight,0.065,0.12,0.44,0.273,0.318,0.053,0.08,0.36,0.222,0.012,0.04,0.08,0.5
1,201565,"Rose, Derrick",3,25,19,4-6 Feet - Open,0.241,0.4,1.64,0.244,0.28,0.159,0.28,1.08,0.259,0.082,0.12,0.56,0.214
2,201565,"Rose, Derrick",4,25,15,6+ Feet - Wide Open,0.118,0.2,0.8,0.25,0.325,0.035,0.08,0.24,0.333,0.082,0.12,0.56,0.214
