,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,66,15,24-22,0.021,0.11,0.3,0.35,0.375,0.02,0.09,0.29,0.316,0.001,0.02,0.02,1.0
1,201565,"Rose, Derrick",2,66,52,22-18 Very Early,0.136,1.02,2.0,0.508,0.511,0.123,1.0,1.82,0.55,0.012,0.02,0.18,0.083
2,201565,"Rose, Derrick",3,66,59,18-15 Early,0.215,1.52,3.17,0.478,0.481,0.197,1.5,2.89,0.518,0.019,0.02,0.27,0.056
3,201565,"Rose, Derrick",4,66,59,15-7 Average,0.429,2.85,6.32,0.451,0.487,0.341,2.39,5.02,0.477,0.088,0.45,1.3,0.349
4,201565,"Rose, Derrick",5,66,40,7-4 Late,0.074,0.47,1.09,0.431,0.472,0.059,0.38,0.86,0.439,0.015,0.09,0.23,0.4
5,201565,"Rose, Derrick",6,66,34,4-0 Very Late,0.126,0.82,1.85,0.443,0.463,0.107,0.74,1.58,0.471,0.019,0.08,0.27,0.278
