,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,66,62,Touch < 2 Seconds,0.25,1.39,3.68,0.379,0.461,0.128,0.79,1.88,0.419,0.122,0.61,1.8,0.336
1,201565,"Rose, Derrick",2,66,65,Touch 2-6 Seconds,0.466,3.45,6.86,0.503,0.504,0.447,3.44,6.58,0.523,0.02,0.02,0.29,0.053
2,201565,"Rose, Derrick",3,66,65,Touch 6+ Seconds,0.284,1.92,4.18,0.46,0.466,0.272,1.88,4.0,0.47,0.012,0.05,0.18,0.25
