,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,51,44,0-2 Feet - Very Tight,0.155,1.47,2.39,0.615,0.615,0.153,1.47,2.35,0.625,0.003,0.0,0.04,0.0
1,201565,"Rose, Derrick",2,51,51,2-4 Feet - Tight,0.368,2.43,5.67,0.429,0.448,0.302,2.22,4.65,0.477,0.066,0.22,1.02,0.212
2,201565,"Rose, Derrick",3,51,50,4-6 Feet - Open,0.364,2.16,5.61,0.385,0.465,0.184,1.25,2.84,0.441,0.179,0.9,2.76,0.326
3,201565,"Rose, Derrick",4,51,41,6+ Feet - Wide Open,0.113,0.57,1.75,0.326,0.433,0.024,0.2,0.37,0.526,0.089,0.37,1.37,0.271
