,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,66,60,0 Dribbles,0.164,0.89,2.41,0.371,0.481,0.055,0.36,0.8,0.453,0.109,0.53,1.61,0.33
1,201565,"Rose, Derrick",2,66,54,1 Dribble,0.126,0.79,1.85,0.426,0.451,0.108,0.7,1.59,0.438,0.017,0.09,0.26,0.353
2,201565,"Rose, Derrick",3,66,52,2 Dribbles,0.127,0.98,1.86,0.528,0.528,0.121,0.98,1.79,0.551,0.005,0.0,0.08,0.0
3,201565,"Rose, Derrick",4,66,65,3-6 Dribbles,0.337,2.48,4.97,0.5,0.503,0.324,2.45,4.77,0.514,0.013,0.03,0.2,0.154
4,201565,"Rose, Derrick",5,66,62,7+ Dribbles,0.247,1.62,3.64,0.446,0.448,0.238,1.61,3.5,0.459,0.009,0.02,0.14,0.111
