,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,51,15,24-22,0.023,0.2,0.35,0.556,0.611,0.018,0.16,0.27,0.571,0.005,0.04,0.08,0.5
1,201565,"Rose, Derrick",2,51,46,22-18 Very Early,0.173,1.24,2.67,0.463,0.518,0.113,0.94,1.75,0.539,0.06,0.29,0.92,0.319
2,201565,"Rose, Derrick",3,51,46,18-15 Early,0.179,1.06,2.76,0.383,0.418,0.121,0.86,1.86,0.463,0.059,0.2,0.9,0.217
3,201565,"Rose, Derrick",4,51,49,15-7 Average,0.45,3.08,6.94,0.444,0.492,0.309,2.41,4.76,0.506,0.141,0.67,2.18,0.306
4,201565,"Rose, Derrick",5,51,36,7-4 Late,0.076,0.53,1.18,0.45,0.492,0.046,0.43,0.71,0.611,0.031,0.1,0.47,0.208
5,201565,"Rose, Derrick",6,51,31,4-0 Very Late,0.098,0.53,1.51,0.351,0.416,0.056,0.33,0.86,0.386,0.042,0.2,0.65,0.303
