,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,10,2,0-2 Feet - Very Tight,0.014,0.1,0.2,0.5,0.5,0.014,0.1,0.2,0.5,0.0,0.0,0.0,
1,201565,"Rose, Derrick",2,10,8,2-4 Feet - Tight,0.208,0.9,3.0,0.3,0.35,0.118,0.6,1.7,0.353,0.09,0.3,1.3,0.231
2,201565,"Rose, Derrick",3,10,10,4-6 Feet - Open,0.271,1.0,3.9,0.256,0.372,0.09,0.1,1.3,0.077,0.181,0.9,2.6,0.346
3,201565,"Rose, Derrick",4,10,5,6+ Feet - Wide Open,0.063,0.4,0.9,0.444,0.667,0.014,0.0,0.2,0.0,0.049,0.4,0.7,0.571
