,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,64,61,0-2 Feet - Very Tight,0.217,1.64,3.02,0.544,0.544,0.215,1.64,3.0,0.547,0.001,0.0,0.02,0.0
1,201565,"Rose, Derrick",2,64,64,2-4 Feet - Tight,0.404,3.11,5.63,0.553,0.554,0.397,3.09,5.53,0.559,0.007,0.02,0.09,0.167
2,201565,"Rose, Derrick",3,64,62,4-6 Feet - Open,0.292,1.86,4.06,0.458,0.471,0.26,1.75,3.63,0.483,0.031,0.11,0.44,0.25
3,201565,"Rose, Derrick",4,64,43,6+ Feet - Wide Open,0.088,0.58,1.22,0.474,0.506,0.061,0.5,0.84,0.593,0.027,0.08,0.38,0.208
