,PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_CLOCK_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
0,201565,"Rose, Derrick",1,25,2,24-22,0.012,0.08,0.08,1.0,1.0,0.012,0.08,0.08,1.0,0.0,0.0,0.0,
1,201565,"Rose, Derrick",2,25,19,22-18 Very Early,0.247,1.0,1.68,0.595,0.607,0.218,0.96,1.48,0.649,0.029,0.04,0.2,0.2
2,201565,"Rose, Derrick",3,25,21,18-15 Early,0.253,0.96,1.72,0.558,0.581,0.224,0.88,1.52,0.579,0.029,0.08,0.2,0.4
3,201565,"Rose, Derrick",4,25,20,15-7 Average,0.365,0.84,2.48,0.339,0.363,0.282,0.72,1.92,0.375,0.082,0.12,0.56,0.214
4,201565,"Rose, Derrick",5,25,12,7-4 Late,0.082,0.2,0.56,0.357,0.357,0.059,0.2,0.4,0.5,0.024,0.0,0.16,0.0
5,201565,"Rose, Derrick",6,25,5,4-0 Very Late,0.041,0.16,0.28,0.571,0.643,0.029,0.12,0.2,0.6,0.012,0.04,0.08,0.5
